	ID	4.3	5.4	5.5	6.4	6.5	16.4	18.2	18.3	25.4	26.4	26.5	29.2	29.3	29.4	29.5	BC1.1	BC1.2	MC1.1	MC1.2	MC1.3	MC3.1	MC3.2	MC3.3	PC1.1	PC1.2	PC1.3	PC2.1	PC2.2	PC2.3	PC3.1	PC3.2	PC3.3
0	80249-73-6	0.0	436208.0	0.0	277891.0	376541.0	0.0	263712.0	0.0	0.0	0.0	0	0.0	0.0	448943.0	330475.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2528-38-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	1837322.0	1373660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	33823-94-8	0.0	0.0	0.0	0.0	252854.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	1000161-02-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208950.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	1000284-47-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	275052	380013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1000273-50-1	332577.0	0.0	0.0	0.0	440941.0	0.0	302733.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	256647.0	194594.0	0.0	0.0	0.0	159130.0	0.0	0.0	0.0	242116.0	0.0	0.0	0.0
6	36144-40-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	874788.0	1086827.0	299993.0	392664.6667	515956.0	0.0	0.0	0.0	0.0	0.0	330964.0	0.0	0.0	404050.0	0.0	0.0	0.0
7	1000308-89-0	0.0	1916719.0	1326850.0	0.0	1553242.0	141336.0	1251307.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	37050-05-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	274487.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	112626-97-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	62979.0	0.0	0.0	123093.0	0.0	0.0	79613.0	0.0	0.0	468818.0	0.0	0.0	0.0	0.0	0.0
10	1758-88-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34504.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	1000159-65-2	0.0	0.0	215849.0	0.0	0.0	0.0	156908.0	0.0	0.0	0.0	0	0.0	0.0	328381.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	7564-51-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69752.0	52422.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42267.0
13	1000227-38-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	501-19-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49065.0	76845.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	1000196-13-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28531.0	0.0	0.0	0.0	0.0	0.0	0.0
16	1000132-96-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11715.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	3391-86-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568627.0	649404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1731-61-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8445.0	0.0	0.0	0.0	0.0	0.0	0.0
19	23902-69-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170146.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	1000337-56-8	0.0	0.0	0.0	0.0	0.0	93814.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1000160-01-2	0.0	0.0	0.0	0.0	182995.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1000443-04-2	659415.0	666710.0	704399.0	593540.0	746565.0	481653.0	565993.0	541028.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	310854.0	0.0	352766.0	0.0	0.0	0.0	428292.0	425339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	93786-70-0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39814.0
24	20126-76-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	1464345.0	1122417.0	1091982.0	1671772.0	1497842.0	0.0	0.0	0.0	0.0	0.0	0.0	558579.0	573237.0	954312.0	0.0	0.0	0.0
25	1000388-12-6	0.0	0.0	0.0	324937.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	13031-76-0	0.0	861133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	1000156-31-4	0.0	0.0	0.0	0.0	0.0	143081.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	693-19-6	0.0	0.0	0.0	0.0	372340.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1000197-16-1	0.0	0.0	0.0	597093.0	503150.0	835894.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	25474-85-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20537.0	0.0	0.0	0.0
31	74646-07-4	0.0	0.0	0.0	0.0	0.0	162720.6667	0.0	212640.0	0.0	0.0	0	274680.0	0.0	258810.0	0.0	199953.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	272661.0	0.0	158115.0	32774.0	202271.0	342989.0	0.0	41365.0
32	1000366-57-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	757722.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	7438-05-3	0.0	0.0	454437.0	403989.0	466956.0	0.0	373844.0	392117.5	0.0	0.0	0	0.0	0.0	457014.0	0.0	0.0	0.0	0.0	0.0	0.0	11364.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34	62016-19-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103995.0
35	5973-71-7	0.0	911126.0	1025602.0	0.0	0.0	711800.0	531654.0	1022632.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	1135696-36-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95822.0	0.0	0.0	0.0	0.0	0.0	0.0	9108.0	0.0	0.0	76121.0	0.0	62488.0
37	186302-24-9	0.0	0.0	1067832.5	225338.0	850192.0	144372.0	0.0	756820.5	0.0	0.0	0	0.0	0.0	0.0	0.0	134010.6667	169658.0	190227.0	0.0	89573.0	149368.0	221999.3333	63095.33333	73606.5	115461.6667	65253.0	70897.66667	66915.0	46949.66667	0.0	82486.0	0.0
38	1000428-07-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181606.0	0.0	0.0
39	31748-08-0	0.0	648502.0	0.0	0.0	0.0	0.0	486212.0	192639.0	0.0	0.0	0	0.0	0.0	867376.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	3364-80-5	0.0	209497.0	0.0	0.0	0.0	142597.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
41	13475-82-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2521870.0	1627865.0	0.0	1267808.0	0.0	0.0	0.0	0.0	0.0
42	3026-45-7	0.0	0.0	0.0	0.0	822019.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
43	169739-47-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5539.0	0.0	0.0	0.0	0.0
44	1000258-92-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39577.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	504-64-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	444948.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19997.0	0.0	0.0	0.0	0.0	0.0	0.0
46	110-41-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	251432.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
47	274-07-752.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29001.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	1010164-49-7	0.0	286140.75	329239.0	339644.8	339423.0	294402.5	260482.25	487166.6667	0.0	0.0	0	0.0	0.0	301110.0	175897.3333	0.0	178759.0	0.0	0.0	0.0	0.0	0.0	32336.0	472595.0	0.0	136842.0	52297.0	0.0	27282.0	0.0	40705.0	0.0
49	3857-25-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	87008.0	0.0	0.0	0.0	0.0	157172.0	0.0	146838.0	199961.0	0.0	0.0	0.0	0.0	0.0	177290.0
50	1000273-20-9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92804.0	0.0
51	21960-49-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8857.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52	1000149-99-6	0.0	0.0	0.0	0.0	0.0	0.0	154409.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	14150-95-9	0.0	0.0	0.0	0.0	0.0	0.0	181237.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54	507-70-0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121100.0	107934.0
55	1000195-54-4	0.0	0.0	465212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	294356	0.0	0.0	0.0	0.0	0.0	110810.0	0.0	159984.0	0.0	0.0	0.0	0.0	0.0	0.0	120474.0	0.0	0.0	0.0	0.0	0.0	0.0
56	1000256-63-1	0.0	692456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	1000315-87-2	0.0	0.0	0.0	0.0	405605.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58	71312-54-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	494336.0	245363.0	203381.0	0.0	0.0	0.0	0.0	0.0	0.0	1816303.0	3480197.0	0.0	0.0	0.0	6559350.0	6159017.0	108745.0
59	1000164-25-7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	162667.0	0.0	0.0	84370.0	0.0	0.0	0.0	66512.0	0.0	18322.0	323412.0	0.0	22426.0	0.0	0.0	0.0	0.0	0.0
60	10304-16-2	696643.0	504377.0	451207.0	700092.0	756192.0	159167.0	494074.0	539426.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61	74128-60-2	0.0	0.0	2975183.0	2544939.0	2640772.0	0.0	0.0	3077743.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43302.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	74810-64-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41596.0	0.0	0.0	0.0	0.0
63	1000155-68-3	1229218.0	448627.0	432332.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	212492.0	0.0	0.0	0.0	147396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33314.0	0.0	0.0
