,NTB.2,NTB.3,NTJ.3,BC2.2,BC2.3,BC3.1,BC3.2,BC3.3,BC4.1,BC4.2,BC4.3,BC5.2,BC6.1,BC6.2,BC6.3,BC7.1,BC7.2,BC7.3,BC1.1,BC1.2,MC1.1,MC1.2,MC1.3,MC3.1,MC3.2,MC3.3,PC1.1,PC1.2,PC1.3,PC2.1,PC2.2,PC2.3,PC3.1,PC3.2,PC3.3,sum,label
16.1,0.0014422677732706395,0.08834026048664911,0.17226735275387878,0.12895878384698092,0.10404426946258015,0.05000834296937204,0.041561569440828075,0.05207567897205534,0.16277001546637082,0.20974662606339844,0.2214072372874339,0.019664899736041946,0.011910822400655602,0.012341370193474394,0.04754069303369693,0.03220438665303659,0.04233276339321547,0.03790371571191326,-0.0011928273415888827,-0.0015824752609967184,-0.0011938405276269105,-0.0011241334067412297,-0.001324764588184704,-0.0014773422762378086,-0.0024164538438978694,-0.002494022559678315,-4.1001294521047285e-06,-0.00024880110296724263,0.003687855064975657,0.0022916054880617025,0.0017953041692935403,0.003190863564796691,0.0009854865578344345,0.0052847972516762666,0.0016802041879202334,1.4423784108920397,0
16.2,-0.0022976611232674777,0.0266292161951222,0.08777420641034413,0.05665752846187251,0.04295539625619821,0.0225422342226344,0.013730286510853538,0.017092242135338873,0.0899299693517819,0.100780930554099,0.12028970779124526,0.004419969712006943,0.0034664235352932435,0.0069412102346502035,0.02016978933972001,0.03645342907518835,0.04691748622567935,0.03862712269366778,-0.0026322503822502155,-0.0019072808840840158,-0.0007842863298993272,0.0021962010984797084,-0.0023383772140809023,-0.0018327023210979094,-0.0030458386585281287,0.0060667287037339595,0.016408439043569367,0.011791616840820043,0.036821237363362604,0.062287729624376065,0.058610946441766204,0.04652131682332872,0.030371912265017773,0.027298683168994756,0.04679621384319031,1.0657097770091275,0
16.3,-0.002822058048936023,0.01358696292122066,0.04921054292852999,0.031160372195680405,0.023018961983511787,0.011130214149889569,0.006640431357733021,0.008540616832860465,0.054649542462259226,0.05640790033767086,0.06718607412600248,0.0019376888251671296,0.0011283760913725412,0.002794134846866996,0.010584938874942345,0.026477107516173035,0.03355097876866198,0.026407008926090596,-0.0021480065655005132,-0.0018750125166451259,-0.0017089856465598093,0.004328416591937539,-0.0019334773116759932,-0.001988128393399581,-0.002594033544172479,-0.0009884894357055055,0.005842801224294883,0.0025243184300115344,0.04687888442950027,0.0763598995395432,0.07317062697483294,0.06054697032186852,0.04169363272169276,0.036565134573988946,0.06264739330105634,0.818911739790765,0
16.4,0.005360720880195913,0.011720047875183671,0.04130565864479328,0.025380715424005825,0.018473340021491796,0.00927529024986411,0.005275458169299436,0.007222879666124318,0.04238188569851628,0.043355951900293406,0.04901316867789292,0.0016639267185795065,0.0005048857819776025,0.0005418047095427646,0.012784975446382253,0.027579015999489066,0.034898385445278436,0.030422126491394023,0.010399113152326655,0.0122516524219188,0.012260528656175544,0.015673012349395683,0.01006037327918052,0.04184448852887016,0.03959015173876943,0.045950010058643284,0.006706776432515563,0.004152376563195264,0.049765653305922974,0.07939924067467781,0.07584524052590337,0.06719018947496024,0.04189603924528478,0.03804025189644039,0.06341934401990049,0.9816046801243856,0
17.1,0.0010142051953744035,0.10388498716225739,0.20520831811253312,0.15328322338844866,0.12264501081819873,0.0588683039692227,0.04768627782370326,0.05940204597739157,0.1933255063748539,0.24091646115627757,0.2615392385210407,0.015508054080642424,0.017410502650154574,0.014005060087545198,0.05685357032555392,0.08587548651574523,0.1025929704692023,0.08961991966967767,-8.993822894925099e-05,-0.0017339869790725187,0.00018469639967192146,-0.0014094882880740307,-0.0016475270228520074,0.003806341674187818,0.0020776752228055576,0.0007757059302424263,-0.0024836200620204957,-0.0025102637356960293,-0.00021282191758734804,0.009268439936066306,-0.0008168927096758059,0.004422897828594896,0.0015641618035212718,0.00017592600369979104,-0.0007593089238394103,1.8402511392288468,1
17.2,0.0010789864860082374,0.016354545024425803,0.031638160981341874,0.022433574150999516,0.01761907379326221,0.007932472879841083,0.006155070232522093,0.008278418161219823,0.03579434217565438,0.03749818134347655,0.04046372139030798,0.000762162630613502,0.000790731722756668,0.0004780492895456516,0.007000007111280658,0.025883436681319105,0.031386977621244774,0.02497735717701325,-0.0015784907448630355,-0.0015053594000047398,-0.0014193950327520313,0.005975524965916277,-0.0013140373789431417,-0.0022468861165848963,-0.001268172552350255,-0.0006699321623802331,0.022344757603959813,0.01172137365389702,0.056064525598084045,0.09845934913090834,0.08529998686027011,0.07267644918216773,0.050671684013575954,0.04437478809204418,0.07486676669688337,0.8289782012626618,0
17.3,-0.00034870895964598343,0.00875668574379655,0.03321592155669296,0.020144959816699635,0.014555309357518885,0.007745750147887213,0.003630368543372589,0.005132313898266038,0.033811236093459034,0.037361229796081946,0.04080352539329473,0.0005322495556808727,-0.00017626298884413163,0.5917255488113884,0.045116037539980385,0.019637794010178417,0.021522735177745545,0.016522466672466585,-0.0013819104761812946,-0.0012835580543698346,-0.0016812573029375071,0.002842266990485415,-0.0012541030308700733,-0.000907752862062705,-0.0019003431491667736,-0.0010642375942688867,0.01257006225064143,0.0065344574184645916,0.031371128675359135,0.060524842762120334,0.05228413013194138,0.04497231323012649,0.027199391534945605,0.02587054877244927,0.04239701473246497,1.1967821541951613,0
17.4,-0.002359110682276202,0.07814827880588458,-0.0026945989307589754,0.028436171183783644,0.02748383675167862,0.005174467218249999,-0.000993085264563211,-0.0007630421149931719,-0.0026777195718133396,-0.0028123172492792005,-0.002993740807701646,-0.0017311748834064641,-0.002250223576969025,0.27965704993360546,0.009636670361153626,-0.0010014326816236738,-0.001988923153054731,-0.0015362887546964419,-0.0019380015648430672,-0.0015869797844241143,-0.002067125545816787,-0.0020443502103779086,-0.0020202547477724923,-0.003842239468828682,-0.003822169404184868,-0.0038993591487191687,-0.0037160816510433156,-0.0033849231500029065,0.001710367213151126,-0.0038907360460844753,-0.001096714602287501,0.027518611974172706,0.006371986758802904,0.004179761331683887,7.693169122603149e-05,0.41128354022787117,0
17.5,0.004245370599790407,0.013374431396305307,0.05005346733099864,0.030000434465919216,0.023464647920137707,0.013253490090095625,0.007587415612343402,0.009665359256714363,0.04832177827933052,0.0489915205922826,0.05254368308940855,0.0016157981550648647,0.001902838433738703,0.0066123387119613524,0.011724122614553207,0.031472491056676564,0.0392737769011676,0.03290099836716811,-0.001203587591382198,-0.0008360908371580709,0.00017256123834718227,0.005807461496692071,-0.0009858538495902706,0.002204724280968311,0.0010361149628583212,0.0038917089976825887,0.026046117794638588,0.014357015979695553,0.056099353957562104,0.09687419175081842,0.0841117732645642,0.07298094461980127,0.0498221556072579,0.042820635312810044,0.07330610581389371,0.9535092956731166,0
18.1,0.004325470260660743,0.16224186454683368,0.33815551065831734,0.2464878571975781,0.1998560470668047,0.09467126853636848,0.07675021533316605,0.09717199022829594,0.3122550715903823,0.3811092148662829,0.41199122873892646,0.023698636402905315,0.027396281585517275,0.02529601883856954,0.09390529479411046,0.1417953109418327,0.17030409612192005,0.15192921036577048,-0.0021828000845734758,-0.002217433636698302,-0.0021042023992278586,-0.0015938568911898956,-0.002058914275774444,-0.00498915478152695,-0.005094416509730477,-0.0048621798249039085,-0.004016094927578658,-0.0021397485748254575,0.0027552413958629764,-0.0006908895374228125,-3.343579072899744e-05,0.006784091522780428,0.0007670020328863734,0.00022600422040103927,0.00011344611896358829,2.9380032461309558,1
